symbol,samples,model_total_return,buyhold_total_return,oracle_total_return,return_gap,capture_ratio,model_sharpe,model_sortino,model_max_drawdown,buyhold_sharpe,acceptance_pass
ADA-USD,2151,-0.8469125078585267,2.107613331567997,3.504616346938027e+30,3.504616346938027e+30,-2.4165626819565335e-31,-0.007807709112061973,-0.0085493210145058,0.9663473513417237,0.555958714519808,False
AVAX-USD,2020,-0.9433284262543088,1.3519677121100053,1.8526886068037036e+34,1.8526886068037036e+34,-5.091672841243183e-35,-0.27767737364093753,-0.31952735276145394,0.9579931138163325,0.5784978063980241,False
BNB-USD,2151,-0.8074964409195616,34.94764944389992,4.4582911221982344e+22,4.4582911221982344e+22,-1.811224118808581e-23,0.014046944476608371,0.014019825802746553,0.9689391864395422,0.9424933442639354,False
DOGE-USD,2151,0.6601353558327356,35.49793825445505,3.662403989025027e+33,3.662403989025027e+33,1.8024646046993605e-34,0.37726558740405547,0.9027821378420834,0.8532057913722059,0.7239421893304517,False
DOT-USD,2051,-0.5689870460296624,-0.7286680777224561,8.772805667228422e+29,8.772805667228422e+29,-6.485804742662464e-31,0.11073814973005891,0.13308845511503636,0.8651462303471716,0.21590968278828968,False
ETH-USD,2151,-0.6769449762985832,8.707210954140804,8.186738016846169e+24,8.186738016846169e+24,-8.268799794321098e-26,0.044290750983500854,0.057538739377282225,0.9147967028013498,0.7344749563762115,False
LINK-USD,2151,-0.29786562742206024,1.1486785192179783,9.16370948092307e+33,9.16370948092307e+33,-3.250491823667635e-35,0.24529504116588569,0.31782534368789855,0.8311587889755712,0.5305027678081028,False
LTC-USD,2151,-0.20597727066901528,0.16282647474434953,6.0629675088494564e+26,6.0629675088494564e+26,-3.3973012451142546e-28,0.23979121671122414,0.29719031692085623,0.7509466131684447,0.3820938314703754,False
SOL-USD,2151,2.2981850217788113,150.24042216617806,1.1096114829502614e+38,1.1096114829502614e+38,2.071161895034055e-38,0.5358306598092736,0.6410421624796481,0.6617558681456888,1.082801719607995,False
TRX-USD,2151,5.902230746885377,18.339776665308495,1.2300075821972891e+20,1.2300075821972891e+20,4.7985320028203523e-20,0.6508405929336961,0.912664160879636,0.6803411539969451,0.8205217556280127,False
XRP-USD,2151,-0.960375682591146,5.851897830077529,6.519652890175743e+27,6.519652890175743e+27,-1.473047259982668e-28,-0.23217642838863192,-0.22260467403610978,0.9781737627131443,0.6702784569190413,False
